0_id, 1_tipo, 2_nome, 3_var_1, 4_var_2, 5_pos_x_inicial, 6_dpos_x, 7_pos_x_final, 8_pos_y_inicial, 9_dpos_y, 10_pos_y_final, 11_inc_x1, 12_inc_x2, 13_inc_y1, 14_inc_y2, 15_var1_dependente, 16_var2_dependente, 17_piscar, 18_tempo_pisca, 19_figura, 20_funcao, 21_reserva, 22_reserva, 23_reserva, 24_reserva 
0,3,sensorporta,Q0.2,,430,5,80,10,2,32,3,-3,0,0,Q0.2,NQ0.2,0,1,Sensor,0,,,,,
1,3,Elevador,Q0.2,,430,80,,12,80,400,0,0,-3,3,Q0.0,Q0.1,0,1,elevador,0,,,,,
2,3,Came_Elevador,Q0.2,,510,5,,12,5,372,,,-3,3,Q0.0,Q0.1,0,1,Sensor,0,,,,,
3,4,sensor,I0.13,,430,10,,12,2,14,0,0,0,0,X0,0,0,0,Sensor,,,,,,
4,2,Parede1,,,380,50,,0,462,,0,0,0,0,0,0,0,0,Parede,0,,,,,
5,2,Parede1,,,510,50,,0,462,,0,0,0,0,0,0,0,0,Parede,0,,,,,
6,3,Parede2,Q0.2,,430,80,,2,10,,0,0,0,0,0,0,0,0,Parede2,0,,,,,
7,3,Parede3,Q0.2,,430,80,,92,10,,0,0,0,0,0,0,0,0,Parede2,0,,,,,
8,3,Parede4,Q0.2,,430,80,,182,10,,0,0,0,0,0,0,0,0,Parede2,0,,,,,
9,3,Parede5,Q0.2,,430,80,,272,10,,0,0,0,0,0,0,0,0,Parede2,0,,,,,
10,3,Parede6,Q0.2,,430,80,,362,10,,0,0,0,0,0,0,0,0,Parede2,0,,,,,
11,3,Elevador,Q0.2,,30,200,,100,230,,0,0,0,0,0,0,0,0,Elevador_dentro,0,,,,,
12,3,Parede7,Q0.2,,430,80,,452,10,,0,0,0,0,0,0,0,0,Parede2,0,,,,,
13,4,botao1,I0.0,,40,25,,105,25,,0,0,0,0,0,0,0,0,Botao,0,,,,,
14,4,botao2,I0.1,,40,25,,135,25,,0,0,0,0,0,0,0,0,Botao,0,,,,,
15,4,botao3,I0.2,,40,25,,165,25,,0,0,0,0,0,0,0,0,Botao,0,,,,,
16,4,botao4,I0.3,,40,25,,195,25,,0,0,0,0,0,0,0,0,Botao,0,,,,,
17,4,botao5,I0.4,,40,25,,225,25,,0,0,0,0,0,0,0,0,Botao,0,,,,,
18,4,botaoT,I0.5,,395,25,,410,25,,0,0,0,0,0,0,0,0,Botao_Subir,0,,,,,
19,4,botao1S,I0.6,,395,25,,300,25,,0,0,0,0,0,0,0,0,Botao_Subir,0,,,,,
20,4,botao1D,I0.7,,395,25,,330,25,,0,0,0,0,0,0,0,0,Botao_Descer,0,,,,,
21,4,botao2S,I0.8,,395,25,,210,25,,0,0,0,0,0,0,0,0,Botao_Subir,0,,,,,
22,4,botao2D,I0.9,,395,25,,240,25,,0,0,0,0,0,0,0,0,Botao_Descer,0,,,,,
23,4,botao3S,I0.10,,395,25,,120,25,,0,0,0,0,0,0,0,0,Botao_Subir,0,,,,,
24,4,botao3D,I0.11,,395,25,,150,25,,0,0,0,0,0,0,0,0,Botao_Descer,0,,,,,
25,4,botao4D,I0.12,,395,25,,62,25,,0,0,0,0,0,0,0,0,Botao_Descer,0,,,,,
26,4,FC4,I1.2,,520,10,,12,10,,0,0,0,0,0,Y2,0,0,Sensor,0,,,,,
27,4,FC3,I1.1,,520,10,,102,10,,0,0,0,0,0,Y2,0,0,Sensor,0,,,,,
28,4,FC2,I1.0,,520,10,,192,10,,0,0,0,0,0,Y2,0,0,Sensor,0,,,,,
29,4,FC1,I0.15,,520,10,,282,10,,0,0,0,0,0,Y2,0,0,Sensor,0,,,,,
30,4,FCT,I0.14,,520,10,,372,10,,0,0,0,0,0,Y2,0,0,Sensor,0,,,,,
31,4,sensor7,I0.13,,510,5,,10,5,372,0,0,-3,3,Q0.0,Q0.1,0,1,Sensor,0,,,,,
32,1,label1,,,5,,,385,,,black,9,,,,,,,Q0.0:Motor Sobe,0,,,,,
33,1,label2,,,5,,,400,,,black,9,,,,,,,Q0.1:Motor Desce,0,,,,,
34,1,label3,,,5,,,415,,,black,9,,,,,,,Q0.2:Abre Porta,0,,,,,
35,1,label4,,,5,,,430,,,black,9,,,,,,,Q0.3:Lampada,0,,,,,
36,1,label5,,,5,,,445,,,black,9,,,,,,,I0.2: 2 an,0,,,,,
37,1,label6,,,5,,,460,,,black,9,,,,,,,I0.1: 1 an,0,,,,,
