0_id, 1_tipo, 2_nome, 3_var_1, 4_var_2, 5_pos_x_inicial, 6_dpos_x, 7_pos_x_final, 8_pos_y_inicial, 9_dpos_y, 10_pos_y_final, 11_inc_x1, 12_inc_x2, 13_inc_y1, 14_inc_y2, 15_var1_dependente, 16_var2_dependente, 17_piscar, 18_tempo_pisca, 19_figura, 20_funcao, 21_reserva, 22_reserva, 23_reserva, 24_reserva 
0,3,correia,Q0.0,,20,400,,380,100,,0,0,0,0,0,0,1,1,correia,0,,,,,
1,3,mesa,Q0.1,,422,100,,277,200,,0,0,0,0,0,0,0,0,mesa,0,,,,,
2,4,botao,I0.0,,50,80,,130,80,,0,0,0,0,,0,0,0,botao,0,,,,,
3,3,cilindro1,Q0.2,,150,380,,200,43,,0,0,0,0,0,0,0,0,pistao,0,,,,,
4,4,caixa,Q0.3,,30,180,610,250,130,160,5,0,0,-100,Q0.0,Q0.1,0,0,caixa,1,,,,,
5,4,sensor1,I0.1,,50,25,,372,25,,0,0,0,0,X4,0,0,0,sensor1,0,,,,,
6,4,sensor2,I0.2,,535,25,,372,25,,0,0,0,0,X4,Y4,0,0,sensor1,0,,,,,
7,3,carimbo,Q0.3,,410,92,,12,145,,0,0,0,0,0,0,0,0,carimbo,0,,,,,
8,1,label_botao,,,50,,,120,,,black,12,,,,,,,I0.0:HABILITA,0,,,,,
9,1,label_Sensor1,,,430,,,515,,,black,12,,,,,,,I0.2:Sensor,0,,,,,
10,1,label_carimbo,,,310,,,100,,,black,12,,,,,,,Q0.3:Carimbo,0,,,,,
11,1,label_correia,,,50,,,498,,,black,12,,,,,,,Q0.0:CORREIA,0,,,,,
12,1,label_Expulsador,,,190,,,190,,,black,12,,,,,,,Q0.2:Expulsa,0,,,,,
13,1,label_mesa,,,430,,,498,,,black,12,,,,,,,Q0.1:Mesa,0,,,,,
14,1,label_Sensor2,,,200,,,498,,,black,12,,,,,,,I0.1:Sensor,0,,,,,
15,1,titulo,,,100,,,70,,,black,45,,,,,,,Expedição,0,,,,,
_id,x,funcao,var_1,somaX,somaY,limite_Min,limite_max,Proxoma
1,X,avanca,Q0.2,100,0,,,
